step,strat,count
331,"0,3",5
332,"3,0",0
332,"2,1",1
332,"1,2",0
332,"0,3",4
333,"3,0",0
333,"2,1",1
333,"1,2",0
333,"0,3",4
334,"3,0",0
334,"2,1",1
334,"1,2",0
334,"0,3",4
335,"3,0",0
335,"2,1",0
335,"1,2",0
335,"0,3",5
336,"3,0",0
336,"2,1",0
336,"1,2",1
336,"0,3",4
337,"3,0",0
337,"2,1",0
337,"1,2",0
337,"0,3",5
338,"3,0",0
338,"2,1",0
338,"1,2",0
338,"0,3",5
339,"3,0",0
339,"2,1",0
339,"1,2",0
339,"0,3",5
340,"3,0",0
340,"2,1",0
340,"1,2",0
340,"0,3",5
341,"3,0",0
341,"2,1",0
341,"1,2",0
341,"0,3",5
342,"3,0",0
342,"2,1",0
342,"1,2",0
342,"0,3",5
343,"3,0",0
343,"2,1",0
343,"1,2",0
343,"0,3",5
344,"3,0",0
344,"2,1",0
344,"1,2",0
344,"0,3",5
345,"3,0",0
345,"2,1",0
345,"1,2",0
345,"0,3",5
346,"3,0",0
346,"2,1",0
346,"1,2",0
346,"0,3",5
347,"3,0",0
347,"2,1",0
347,"1,2",0
347,"0,3",5
348,"3,0",0
348,"2,1",0
348,"1,2",0
348,"0,3",5
349,"3,0",0
349,"2,1",0
349,"1,2",0
349,"0,3",5
350,"3,0",0
350,"2,1",0
350,"1,2",0
350,"0,3",5
351,"3,0",0
351,"2,1",0
351,"1,2",0
351,"0,3",5
352,"3,0",0
352,"2,1",0
352,"1,2",0
352,"0,3",5
353,"3,0",0
353,"2,1",0
353,"1,2",0
353,"0,3",5
354,"3,0",0
354,"2,1",0
354,"1,2",0
354,"0,3",5
355,"3,0",0
355,"2,1",0
355,"1,2",0
355,"0,3",5
356,"3,0",0
356,"2,1",0
356,"1,2",0
356,"0,3",5
357,"3,0",0
357,"2,1",0
357,"1,2",0
357,"0,3",5
358,"3,0",0
358,"2,1",0
358,"1,2",1
358,"0,3",4
359,"3,0",0
359,"2,1",0
359,"1,2",0
359,"0,3",5
360,"3,0",0
360,"2,1",0
360,"1,2",0
360,"0,3",5
361,"3,0",0
361,"2,1",0
361,"1,2",0
361,"0,3",5
362,"3,0",0
362,"2,1",0
362,"1,2",0
362,"0,3",5
363,"3,0",0
363,"2,1",0
363,"1,2",0
363,"0,3",5
364,"3,0",0
364,"2,1",0
364,"1,2",0
364,"0,3",5
365,"3,0",0
365,"2,1",0
365,"1,2",0
365,"0,3",5
366,"3,0",0
366,"2,1",0
366,"1,2",0
366,"0,3",5
367,"3,0",0
367,"2,1",0
367,"1,2",0
367,"0,3",5
368,"3,0",0
368,"2,1",0
368,"1,2",0
368,"0,3",5
369,"3,0",0
369,"2,1",0
369,"1,2",0
369,"0,3",5
370,"3,0",0
370,"2,1",0
370,"1,2",0
370,"0,3",5
371,"3,0",0
371,"2,1",0
371,"1,2",0
371,"0,3",5
372,"3,0",0
372,"2,1",0
372,"1,2",0
372,"0,3",5
373,"3,0",0
373,"2,1",0
373,"1,2",0
373,"0,3",5
374,"3,0",0
374,"2,1",0
374,"1,2",0
374,"0,3",5
375,"3,0",0
375,"2,1",0
375,"1,2",0
375,"0,3",5
376,"3,0",0
376,"2,1",0
376,"1,2",0
376,"0,3",5
377,"3,0",0
377,"2,1",0
377,"1,2",0
377,"0,3",5
378,"3,0",1
378,"2,1",0
378,"1,2",0
378,"0,3",4
379,"3,0",1
379,"2,1",0
379,"1,2",0
379,"0,3",4
380,"3,0",1
380,"2,1",0
380,"1,2",0
380,"0,3",4
381,"3,0",0
381,"2,1",0
381,"1,2",0
381,"0,3",5
382,"3,0",0
382,"2,1",0
382,"1,2",0
382,"0,3",5
383,"3,0",0
383,"2,1",0
383,"1,2",0
383,"0,3",5
384,"3,0",0
384,"2,1",0
384,"1,2",0
384,"0,3",5
385,"3,0",0
385,"2,1",0
385,"1,2",0
385,"0,3",5
386,"3,0",0
386,"2,1",0
386,"1,2",0
386,"0,3",5
387,"3,0",0
387,"2,1",0
387,"1,2",0
387,"0,3",5
388,"3,0",0
388,"2,1",0
388,"1,2",0
388,"0,3",5
389,"3,0",0
389,"2,1",0
389,"1,2",0
389,"0,3",5
390,"3,0",0
390,"2,1",0
390,"1,2",0
390,"0,3",5
391,"3,0",0
391,"2,1",0
391,"1,2",0
391,"0,3",5
392,"3,0",0
392,"2,1",0
392,"1,2",0
392,"0,3",5
393,"3,0",0
393,"2,1",0
393,"1,2",0
393,"0,3",5
394,"3,0",0
394,"2,1",0
394,"1,2",0
394,"0,3",5
395,"3,0",0
395,"2,1",0
395,"1,2",0
395,"0,3",5
396,"3,0",0
396,"2,1",0
396,"1,2",0
396,"0,3",5
